# heliumInput = PHENOTYPE									
germplasm_name	germplasm_id	germplasm_gid	country_name	country_code	has_trials_data	has_genotypic_data	Project	Year	Range
Digger	72	Digger	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1983	1980-1989
Dina	73	Dina	Denmark	DK	1	1	BARN	1975	1970-1979
Domen	74	Domen	Norway	NO	1	1	BARN	1952	1830-1959
Drake	75	Drake	Netherlands	NL	1	1	BARN	1968	1960-1969
Drost	76	Drost	Denmark	DK	1	1	BARN	1954	1830-1959
Drum	77	Drum	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2001	2000-2009
Egmont	78	Egmont	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1980	1980-1989
Emir	79	Emir	Netherlands	NL	1	1	BARN	1962	1960-1969
Fairytale	80	Fairytale	Denmark	DK	1	1	BARN	2005	2000-2009
Favorit	81	Favorit	Czech Republic	CZ	1	1	BARN	1973	1970-1979
Forensic	82	Forensic	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2006	2000-2009
Freja	83	Freja	Sweden	SE	1	1	BARN	1941	1830-1959
Georgie	84	Georgie	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1973	1970-1979
Gitane	85	Gitane	Netherlands	NL	1	1	BARN	1976	1970-1979
Golden Promise	86	Golden Promise	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1966	1960-1969
Golf	87	Golf	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1980	1980-1989
Gull	88	Gull	Sweden	SE	1	1	BARN	1913	1830-1959
Gundel	89	Gundel	Sweden	SE	1	1	BARN	1984	1980-1989
Hannchen	90	Hannchen	Sweden	SE	1			1893	1830-1959
Hart	91	Hart	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1986	1980-1989
Hellas	92	Hellas	Sweden	SE	1	1	BARN	1967	1960-1969
Helmi	93	Helmi	Finland	FI	1	1	BARN	1942	1830-1959
Hemingway	94	Hemingway	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2012	2010-2017
Heron	95	Heron	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1990	1990-1999
Husky AFP2429	96	Husky AFP2429	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2006	2000-2009
Imidis	97	Imidis			1	1	BARN	2006	2000-2009
Impala	98	Impala	Netherlands	NL	1	1	BARN	1964	1960-1969
Infinium	99	Infinium			1	1	BARN	2014	2010-2017
Ingrid	100	Ingrid	Sweden	SE	1	1	BARN	1956	1830-1959
Invictus	101	Invictus			1	1	BARN	2013	2010-2017
Isabella	102	Isabella	Denmark	DK	1	1	BARN	2004	2000-2009
Isaria	103	Isaria	Germany	DE	1	1	BARN	1924	1830-1959
Kassima	104	Kassima	Netherlands	NL	1	1	BARN	2003	2000-2009
Kenia	105	Kenia	Denmark	DK	1			1927	1830-1959
Klaxon	106	Klaxon	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1981	1980-1989
Koral	107	Koral	Czech Republic	CZ	1	1	BARN	1980	1980-1989
Krona	108	Krona	Germany	DE	1			1990	1990-1999
Krystal	109	Krystal	Czech Republic	CZ	1	1	BARN	1981	1980-1989
KWS Irina	110	KWS Irina	United Kingdom of Great Britain and Northern Ireland	GB	1		BARN	2011	2010-2017
KWS Orphelia	111	KWS Orphelia	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2010	2010-2017
KWS Vitara	112	KWS Vitara	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2014	2010-2017
Kym	113	Kym	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1979	1970-1979
Landlord	114	Landlord	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1994	1990-1999
Lenta	115	Lenta	Denmark	DK	1	1	BARN	1943	1830-1959
Livet	116	Livet	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1996	1990-1999
Lud	117	Lud	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1976	1970-1979
Macaw	118	Macaw	France	FR	1	1	BARN	2002	2000-2009
Maja	119	Maja	Denmark	DK	1	1	BARN	1927	1830-1959
Mala Abed	120	Mala Abed	Denmark	DK	1	1	BARN	1972	1970-1979
Maresi	121	Maresi	Germany	DE	1	1	BARN	1986	1980-1989
Maris Mink	122	Maris Mink	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1973	1970-1979
Maypole	123	Maypole	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2000	2000-2009
Meltan	124	Meltan	Sweden	SE	1	1	BARN	1990	1990-1999
Midas	125	Midas	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1970	1970-1979
Momentum	126	Momentum	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2012	2010-2017
Natasha	127	Natasha	France	FR	1	1	BARN	1982	1980-1989
Natasia	128	Natasia	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2010	2010-2017
Nomad	129	Nomad	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1987	1980-1989
Nordal	130	Nordal	Denmark	DK	1	1	BARN	1971	1970-1979
Novello	131	Novello	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2000	2000-2009
Odyssey	132	Odyssey	France	FR	1	1	BARN	2009	2000-2009
Okos	133	Okos	Italy	IT	1	1	BARN	1975	1970-1979
Olympus	134	Olympus			1	1	BARN	2013	2010-2017
Optic	135	Optic	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1992	1990-1999
Orbit	136	Orbit	Slovakia	SK	1	1	BARN	1986	1980-1989
Otto	137	Otto	Italy	IT	1	1	BARN	1972	1970-1979
Overture	138	Overture	France	FR	1	1	BARN	2009	2000-2009
Paloma	139	Paloma	Denmark	DK	1	1	BARN	1996	1990-1999
Pewter	140	Pewter	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1998	1990-1999
Pitcher	141	Pitcher	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1993	1990-1999
Poker	142	Poker	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2003	2000-2009
Potter	143	Potter	Sweden	SE	1	1	BARN	1997	1990-1999
Power	144	Power	Denmark	DK	1		BARN	2002	2000-2009
Prague	145	Prague	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2004	2000-2009
Prestige	146	Prestige	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1998	1990-1999
Prisma	147	Prisma	Netherlands	NL	1	1	BARN	1985	1980-1989
Proctor	148	Proctor	United Kingdom of Great Britain and Northern Ireland	GB	1		BARN	1952	1830-1959
Prodigal	149	Prodigal	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2010	2010-2017
Propino	150	Propino	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2007	2000-2009
Publican	151	Publican	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2004	2000-2009
Quench	152	Quench	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2004	2000-2009
Rainbow	153	Rainbow	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1994	1990-1999
Rapid	154	Rapid	Czech Republic	CZ	1	1	BARN	1976	1970-1979
Reggae	155	Reggae	Netherlands	NL	1	1	BARN	1992	1990-1999
Renaissance	156	Renaissance			1	1	BARN	2011	2010-2017
Renata	157	Renata	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1994	1990-1999
RGT Conquest	158	RGT Conquest	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2013	2010-2017
RGT Planet	159	RGT Planet	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2014	2010-2017
Rhynchostar	160	Rhynchostar	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2010	2010-2017
Ria	161	Ria	Germany	DE	1	1	BARN	1987	1980-1989
Rika	162	Rika	Sweden	SE	1		BARN	1949	1830-1959
Riviera	163	Riviera	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1992	1990-1999
Romi	164	Romi	Denmark	DK	1	1	BARN	1983	1980-1989
Rummy	165	Rummy	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2003	2000-2009
Salka	166	Salka	Denmark	DK	1	1	BARN	1973	1970-1979
Saloon	167	Saloon	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Salve	168	Salve	Sweden	SE	1	1	BARN	1974	1970-1979
